,release_year,duration
4670,2013,96
4671,2008,96
4672,2008,123
4673,2018,85
4674,2017,26
4676,2017,123
4679,2017,113
4680,2017,92
4681,2017,46
4682,2015,124
4683,2017,81
4684,2010,97
4686,2017,81
4687,2017,119
4690,1980,149
4691,2013,106
4692,2015,140
4693,2012,121
4695,2017,87
4696,2016,99
4697,2017,96
4699,2016,56
4700,2014,89
4701,2013,24
4702,2015,100
4707,2015,116
4710,2015,101
4712,2016,92
4714,1979,79
4715,2016,67
4717,2016,72
4718,2016,96
4720,2015,72
4721,2015,78
4722,2010,26
4723,2019,66
4724,2018,107
4725,2019,46
4730,2019,96
4731,2018,104
4732,2018,92
4733,2017,88
4736,2011,91
4743,2018,80
4744,2018,103
4749,1992,62
4750,2019,117
4751,2019,76
4752,2016,67
4753,2017,165
4754,2017,166
4755,2017,166
4756,2015,159
4757,2015,160
4758,2015,159
4759,2014,93
4760,2016,95
4761,2015,114
4762,2015,67
4763,2014,77
4764,2018,84
4765,2018,105
4766,2016,63
4767,2014,22
4768,2015,22
4769,2017,94
4770,2017,99
4771,2019,59
4772,2017,102
4774,2016,105
4775,2016,101
4776,2016,124
4777,2016,100
4778,2016,73
4779,2016,107
4780,2014,90
4781,2014,143
4782,2016,127
4783,2018,100
4784,2018,74
4785,2017,54
4787,2017,121
4788,2017,103
4792,2013,135
4794,1992,95
4796,1984,93
4797,2018,101
4800,2015,96
4801,2019,84
4803,2018,91
4804,2019,102
4809,2018,100
4810,2018,98
4811,2017,81
4814,2018,104
4816,2017,129
4817,2019,81
4818,2019,98
4819,2019,110
4820,2013,106
4822,2013,90
4823,2017,95
4824,2017,57
4825,2019,85
4826,2014,112
4827,2017,141
4828,2017,120
4829,2017,140
4830,2015,92
4831,2018,87
4833,2016,81
4834,2019,66
4835,2014,99
4836,2016,98
4837,2016,95
4838,2013,180
4839,2016,75
4840,2016,92
4841,2018,92
4842,2013,86
4843,1998,104
4844,2001,100
4845,2012,50
4846,2013,124
4847,2015,105
4848,2017,116
4849,2017,100
4850,2016,95
4851,2015,90
4853,2016,92
4854,2019,91
4855,2018,57
4859,1998,31
4861,2018,90
4864,2017,96
4865,2019,133
4866,2018,135
4867,2019,120
4869,2019,118
4870,2013,123
4872,2006,196
4873,2017,93
4874,2017,70
4876,2017,51
4877,2016,94
4878,2019,110
4879,2019,98
4880,2019,98
4881,2019,98
4883,2018,104
4884,2017,110
4885,2017,162
4886,2017,139
4887,2018,130
4888,2017,145
4889,2016,83
4891,2013,92
4892,2015,88
4893,2017,104
4894,2002,167
4895,2019,63
4896,2019,52
4898,2016,104
4899,2015,114
4902,2012,145
4903,2019,84
4904,1995,102
4905,2019,101
4906,2019,116
4907,2011,148
4908,2011,127
4909,2013,96
4910,2016,82
4911,2008,158
4912,2016,124
4913,2000,163
4914,2018,74
4915,2010,121
4916,2014,154
4917,2014,127
4918,2010,128
4919,2012,98
4920,2006,124
4921,2009,109
4922,2016,168
4923,1983,89
4924,2010,162
4925,2006,159
4926,2012,137
4927,2015,133
4928,2010,125
4929,2012,127
4930,2011,131
4931,2005,90
4932,2011,81
4933,2016,88
4934,2013,91
4935,2015,91
4936,2016,104
4937,2016,124
4939,2016,80
4940,2018,102
4941,2018,95
4944,2011,113
4945,2017,124
4947,2018,33
4948,2017,119
4950,2017,114
4951,2018,100
4953,2018,54
4954,2017,96
4961,2019,95
4963,2019,72
4964,2015,117
4965,2019,100
4966,2019,24
4968,2019,86
4970,2018,150
4971,1992,108
4972,1985,90
4973,1982,101
4974,1997,104
4975,1990,88
4976,1994,93
4977,1995,79
4978,1981,92
4979,1986,90
4980,1984,86
4981,2001,90
4982,2012,103
4983,1984,86
4984,1988,108
4985,1980,97
4986,2002,92
4987,1980,101
4988,1993,83
4989,1993,85
4990,1985,85
4991,2014,106
4993,2019,112
4995,2019,69
4996,2018,86
4997,2015,131
4998,2015,105
4999,2017,134
5000,2018,85
5003,2009,203
5005,2017,101
5006,2017,63
5007,2015,56
5008,2011,92
5010,2015,91
5011,2015,94
5013,2015,99
5014,2005,79
5015,2015,66
5016,2010,46
5017,2014,94
5019,2019,119
5024,2017,94
5025,2015,62
5026,2019,123
5027,2019,93
5028,2018,109
5030,2019,97
5031,2016,82
5032,2017,100
5033,2015,90
5035,2017,90
5036,2015,71
5037,2017,97
5038,2005,72
5039,2009,71
5040,2012,77
5041,2014,70
5045,2018,120
5046,2013,91
5047,2018,124
5048,2018,95
5049,2018,12
5050,2016,89
5051,2015,83
5052,2016,98
5053,2017,92
5054,2009,164
5055,2018,87
5056,2016,90
5057,2010,106
5058,2003,116
5059,2004,134
5060,2012,133
5061,1994,118
5062,2013,120
5063,1997,154
5064,2015,128
5066,2015,115
5067,2018,177
5068,2015,105
5069,2002,112
5071,1976,120
5072,1979,119
5073,1982,100
5074,1985,92
5075,1990,104
5076,2005,97
5077,2018,88
5079,2003,128
5080,2000,130
5082,1995,108
5083,2016,98
5084,2018,89
5085,1997,89
5087,2018,88
5088,1992,125
5089,2012,88
5090,1989,94
5091,2018,83
5092,1997,89
5093,2017,118
5094,2005,109
5095,2017,87
5096,2017,105
5097,2010,79
5098,2017,133
5099,2017,147
5100,1983,92
5102,2010,103
5103,2013,119
5104,2017,80
5105,2017,110
5106,2017,128
5107,2017,88
5108,2018,86
5109,2018,70
5110,2018,66
5111,2018,72
5112,2017,122
5113,2015,117
5114,2008,98
5115,2017,126
5116,2018,115
5119,2015,86
5120,2009,108
5121,2001,94
5122,2017,151
5123,2015,89
5124,2016,92
5125,2017,111
5126,2016,92
5128,2016,91
5131,2012,172
5132,2016,45
5138,2016,95
5141,2016,80
5145,2017,67
5147,2016,84
5148,2016,97
5150,2016,86
5151,2016,59
5153,2016,58
5154,2016,47
5155,2015,114
5158,2016,86
5161,1994,63
5164,2016,44
5165,2015,128
5166,2016,51
5167,2008,45
5173,2008,46
5177,2013,94
5178,2018,89
5180,2016,94
5181,2015,116
5182,2018,131
5183,2018,136
5184,2017,106
5185,2017,119
5186,2016,82
5188,2019,170
5190,2017,93
5191,2016,84
5192,2016,85
5193,2016,110
5194,2017,89
5195,2018,91
5196,2015,128
5197,2018,75
5198,2018,96
5199,2017,95
5200,2018,32
5201,2018,70
5202,2017,94
5203,2016,117
5204,2018,78
5206,2016,76
5207,2019,88
5208,2019,97
5210,2018,110
5212,2019,170
5213,2018,92
5216,2019,94
5218,2019,92
5219,2017,100
5220,2018,91
5223,2015,115
5224,2011,122
5225,2016,107
5226,2016,109
5227,2016,104
5228,2014,95
5229,2017,110
5230,2016,100
5231,2017,93
5232,2005,104
5233,2014,134
5234,2017,74
5235,2019,92
5237,2019,64
5243,2017,72
5245,2005,112
5247,2017,115
5248,2017,92
5249,2010,113
5250,2019,59
5251,2018,126
5253,2018,75
5254,2018,100
5255,2017,105
5256,2018,148
5257,2016,110
5258,2018,119
5259,2016,101
5260,2016,91
5261,2015,107
5262,2014,91
5263,2017,81
5266,2017,53
5267,2017,95
5270,2016,163
5272,2018,93
5274,2017,95
5278,2018,105
5279,2018,117
5282,2011,125
5283,2012,87
5285,2012,96
5286,2019,91
5287,2019,122
5288,2018,125
5289,2019,49
5290,2011,95
5292,2012,99
5293,2018,66
5294,2017,110
5295,2015,95
5296,2012,98
5297,2018,98
5298,2018,90
5299,2011,97
5300,2012,97
5301,2018,86
5302,2011,114
5304,2009,96
5305,2017,97
5306,2018,78
5307,2018,102
5308,2016,149
5309,2016,106
5310,2016,108
5311,2017,66
5312,2014,99
5313,2013,99
5314,2017,88
5315,2018,62
5316,2017,90
5318,2019,66
5320,2013,54
5321,2013,55
5322,2014,55
5323,2014,55
5324,2014,55
5325,2015,74
5326,2016,66
5331,2018,70
5334,2017,113
5335,2017,83
5336,2018,168
5337,2019,98
5338,2018,89
5342,2018,97
5343,2018,105
5344,2018,79
5345,2012,76
5346,2016,86
5347,2019,120
5348,2015,76
5349,2019,60
5351,2014,103
5352,2015,101
5353,2012,100
5354,2018,90
5355,2019,77
5356,2016,100
5359,2019,102
5362,2014,98
5363,2019,92
5364,2018,116
5365,2019,111
5366,2017,90
5368,2017,129
5369,2017,53
5370,2017,102
5371,2016,91
5372,2016,99
5373,2013,99
5374,2014,99
5375,2015,98
5376,2014,73
5377,2016,92
5379,2017,95
5380,2017,50
5381,2014,113
5382,2015,153
5383,2018,81
5384,2019,54
5385,2019,138
5389,2015,84
5390,2013,93
5391,2013,123
5392,2007,96
5393,2018,101
5394,2019,59
5395,2019,53
5396,2009,109
5397,2016,77
5398,2014,97
5400,2001,102
5401,2005,141
5402,2018,95
5403,2003,111
5404,2003,131
5405,2003,116
5406,2018,119
5407,2005,146
5408,2016,101
5409,2018,82
5410,2017,107
5411,1983,69
5412,2010,87
5413,2015,91
5414,2015,92
5417,2014,97
5418,2014,105
5419,2016,107
5424,2017,99
5425,2016,101
5426,2015,95
5427,2016,127
5428,2015,86
5429,2013,35
5430,2018,90
5431,2018,87
5432,2009,99
5433,2016,81
5434,2016,92
5435,2017,131
5436,2016,111
5437,2014,104
5438,2016,99
5439,2019,95
5440,2019,94
5442,2018,105
5443,2018,99
5446,2016,129
5447,2017,94
5448,2018,103
5449,2014,133
5450,2013,135
5451,2019,61
5452,2013,85
5455,2019,91
5456,2017,108
5457,2016,101
5458,2013,71
5461,2016,96
5462,2018,105
5463,2019,59
5464,2019,91
5466,2018,66
5467,2017,85
5469,2019,118
5470,2015,88
5471,2018,55
5472,2011,110
5473,2007,113
5474,2008,110
5475,2016,94
5476,2018,54
5477,2018,53
5480,2016,103
5482,2007,126
5484,2006,89
5485,2018,124
5487,2009,128
5488,2001,88
5489,2003,83
5491,2017,96
5494,2016,118
5495,2017,91
5496,2015,91
5497,2018,53
5499,2007,103
5500,2016,104
5501,1993,101
5502,2017,96
5503,1986,80
5504,1991,75
5505,1999,75
5506,2000,79
5507,1995,78
5508,2001,75
5509,2004,78
5510,1995,166
5512,2017,90
5513,2009,132
5515,1993,91
5516,1989,117
5517,2015,103
5518,2015,100
5519,2002,176
5520,2018,91
5522,2017,49
5523,2016,97
5524,1995,116
5525,2016,90
5526,2012,60
5527,2000,149
5530,2017,86
5531,2004,171
5532,2017,103
5533,2016,116
5534,2007,169
5535,2005,134
5536,2000,159
5537,2010,130
5539,2017,103
5540,2016,173
5541,1993,195
5542,2015,111
5543,2007,99
5544,2008,110
5545,2016,32
5546,2016,94
5549,2013,98
5550,2016,74
5552,2012,156
5553,2016,88
5554,2016,70
5555,2016,88
5556,2016,93
5557,1971,143
5559,2015,83
5560,2017,90
5562,2014,107
5563,2016,93
5564,2010,99
5568,1975,134
5570,2016,77
5571,2017,78
5572,2016,101
5573,2013,53
5574,2016,81
5575,2016,106
5577,2007,70
5578,2015,102
5579,2014,88
5580,2015,109
6231,2016,60
