,release_year,duration
847,1967,93
848,2016,140
849,2017,91
850,2009,97
851,2014,146
852,2016,118
853,2009,133
854,2017,106
856,2009,128
857,2009,137
858,2014,145
859,2017,141
861,2012,106
862,2015,61
863,2018,135
864,2013,137
865,2014,129
866,2009,99
868,2017,155
869,2014,142
870,2008,214
871,2015,137
872,2009,128
873,2011,89
874,2010,67
875,2018,151
876,2014,121
878,2009,101
879,2008,145
880,2009,147
881,2016,90
882,2012,129
883,2005,129
884,2017,136
885,2016,117
886,2017,74
887,2012,150
888,2011,134
889,2011,100
890,2018,44
891,2018,44
892,2009,111
893,2014,147
894,2013,115
896,2013,121
897,2016,103
898,2016,73
899,2015,129
900,2014,102
901,2013,122
902,2008,155
903,2013,139
904,2015,131
905,2017,127
907,2012,156
908,2018,91
909,2013,132
911,2016,130
912,2010,137
913,2005,132
914,2012,156
915,2009,132
916,2010,119
917,2015,140
918,2008,101
919,2016,126
920,2012,135
921,2015,107
922,2013,74
923,2010,74
924,2015,74
925,2015,83
926,2016,79
927,2010,72
928,2011,80
929,2016,75
930,2012,75
931,2017,72
933,2013,80
937,2017,93
938,2016,79
939,2012,86
940,2017,107
941,2016,47
943,2016,107
944,2013,119
945,2016,108
947,2014,85
948,2015,90
949,2016,72
950,2010,23
951,2016,68
953,2015,85
958,2016,84
959,2016,118
960,2004,116
961,2017,89
962,2017,81
963,2016,73
965,2016,140
968,2016,86
969,2015,105
972,2010,100
975,2016,96
977,2015,97
978,2016,73
980,2016,44
981,2016,132
984,2015,96
985,2016,92
986,2013,99
989,1988,95
990,1986,96
991,1986,94
992,1990,94
993,1988,93
994,1987,96
995,1989,94
996,1988,94
997,1991,93
998,1990,95
999,1991,93
1000,2009,99
1001,2017,132
1002,2017,106
1005,2018,122
1012,2012,100
1013,2019,93
1014,2019,94
1015,2018,79
1016,2017,78
1017,2015,111
1019,2012,112
1020,2015,107
1021,2016,101
1022,2016,121
1024,2015,102
1025,2015,81
1026,2002,81
1028,2016,123
1029,2014,100
1030,2019,78
1032,2018,116
1033,2017,144
1034,2019,87
1035,2019,61
1036,2017,98
1037,2019,123
1038,2019,85
1040,2018,129
1041,2018,90
1042,2017,153
1043,2011,92
1044,2012,87
1045,2011,92
1046,2009,112
1047,1995,97
1048,2016,78
1049,2019,103
1051,2017,105
1052,2016,64
1054,2016,112
1056,2019,67
1057,2019,135
1059,2018,93
1060,2018,30
1063,2018,82
1064,2011,95
1065,2018,127
1066,2008,120
1068,2018,114
1069,2018,119
1070,2018,101
